user_pseudo_id,user_first_engagement,user_last_engagement,month,julianday,dayofweek,ts_24hr_after_first_engagement,churned,bounced
7A920F1813471AC79FD7F7677A56BA75,1.53627E+15,1.53792E+15,9,249,5,1.53636E+15,0,0
011A541DBC3D5ADB8450B051AC69A304,1.5291E+15,1.53823E+15,6,166,6,1.52919E+15,0,0
264749B887AA92394A2F4E449D16A9F6,1.53741E+15,1.53771E+15,9,263,5,1.5375E+15,0,0
3875A92B5F5C2BBA1355CED06A986079,1.52932E+15,1.53863E+15,6,169,2,1.5294E+15,0,0
47CEECC477E37BBFF85825843B6FEAB1,1.53763E+15,1.53775E+15,9,265,7,1.53772E+15,0,0
CB0FC6133C39392B5DE1AA13FCF272C6,1.53773E+15,1.53773E+15,9,266,1,1.53781E+15,1,1
9DCDA332E12E1ABACC2B034A1A4F3681,1.53771E+15,1.53793E+15,9,266,1,1.53779E+15,0,0
83C4BA9FE06C0365B44B758ACDB4212A,1.52933E+15,1.5381E+15,6,169,2,1.52941E+15,0,0
6D24F421B34B2CFDCF3A9983CF63D647,1.5288E+15,1.53789E+15,6,163,3,1.52889E+15,0,0
EFB696A82D093B3AFBE92FF526DD5CEA,1.53016E+15,1.53862E+15,6,179,5,1.53024E+15,0,0
9B1BD950B7CB412037FFA88C6A060762,1.53774E+15,1.53774E+15,9,266,1,1.53783E+15,1,0
64D4FF2E08079BEEF31850948C79C5BF,1.53713E+15,1.53771E+15,9,259,1,1.53721E+15,0,0
3AA6FAABA6A18AA2F8927EFF931DD736,1.53005E+15,1.53791E+15,6,177,3,1.53013E+15,0,0
986DB366660E95BE50BB464FD9666802,1.53008E+15,1.53769E+15,6,178,4,1.53017E+15,0,0
0055BAC9EFA78604AA7BD8D7E57041C1,1.53772E+15,1.53772E+15,9,266,1,1.5378E+15,1,1
5B84AA0BEF649F6BF43BC3D2014A311C,1.52902E+15,1.53772E+15,6,166,6,1.52911E+15,0,0
AFFCE36EB3E93A5383A1407B0CC41E4E,1.53687E+15,1.53831E+15,9,256,5,1.53696E+15,0,0
6D932377481D0477E3C4ED9EA79EE410,1.52884E+15,1.53808E+15,6,163,3,1.52892E+15,0,0
410456004F702B7F96B3B39BCC44051D,1.52888E+15,1.53804E+15,6,164,4,1.52897E+15,0,0
82072F48F4EF171AAA1D605D5E205F2A,1.53609E+15,1.53799E+15,9,247,3,1.53617E+15,0,0
58F1D3732E0E22B3D0491F96D0A63216,1.53705E+15,1.53773E+15,9,258,7,1.53714E+15,0,0
6EC263DBA95206A1A9EB55CD93F58FD2,1.529E+15,1.53863E+15,6,165,5,1.52909E+15,0,0
70E0EA911F160D917144A295DFF152EB,1.53758E+15,1.53776E+15,9,265,7,1.53767E+15,0,0
82B3DD7B6C7228C2A4757DBA3E4ACA7B,1.53772E+15,1.53772E+15,9,266,1,1.5378E+15,1,1
3FBB605D713B128EBF5A38DD845444EC,1.52935E+15,1.53841E+15,6,169,2,1.52944E+15,0,0
43A83473824B5860784FD7866EA79CE5,1.53747E+15,1.53786E+15,9,263,5,1.53756E+15,0,0
A79463D6757978B36380C173D1CA7B2E,1.53019E+15,1.538E+15,6,179,5,1.53028E+15,0,0
A7A23172C4418FA7E936DB668F34B2C8,1.53773E+15,1.53783E+15,9,266,1,1.53782E+15,0,0
0F93A84CB0774C5BAB3E5FF8A72A694D,1.52913E+15,1.53795E+15,6,167,7,1.52922E+15,0,0
D09FF4F523DC97E4F53E6E36E027DE25,1.53754E+15,1.53798E+15,9,264,6,1.53762E+15,0,0
825D36CBE9A65B6D3BBFACE4C8C3EE60,1.52885E+15,1.53842E+15,6,164,4,1.52894E+15,0,0
8A1F255061DE6AFBDE0F9FE5226DCACA,1.53568E+15,1.53845E+15,8,243,6,1.53576E+15,0,0
20706003A6373C55EC3CA4AA47F332A3,1.52881E+15,1.53807E+15,6,163,3,1.5289E+15,0,0
A21BEEF0A0B3843E47D16D66A50B5834,1.53003E+15,1.53776E+15,6,177,3,1.53011E+15,0,0
A62424E95312543638F87F758E50E927,1.53728E+15,1.53785E+15,9,261,3,1.53737E+15,0,0
77099BD712737184D5C0207CE80BB64B,1.52884E+15,1.53776E+15,6,163,3,1.52893E+15,0,0
E3D819116CCA3A67FC79FDB85F4CFCDA,1.53773E+15,1.53773E+15,9,266,1,1.53781E+15,1,1
0ADCAB98C7686603278BCDD71FE16CC8,1.53639E+15,1.53822E+15,9,251,7,1.53648E+15,0,0
68D40373F4BC1FDD9BD02B56526D9D7B,1.53588E+15,1.53776E+15,9,245,1,1.53596E+15,0,0
F2D0450D7EAE6470C9C41096A9E34EDA,1.53001E+15,1.53806E+15,6,177,3,1.5301E+15,0,0
7EDFFF7CB9DB49F6C61708EEBA33A32D,1.53764E+15,1.53773E+15,9,265,7,1.53773E+15,0,0
E0664E9E7883956A6E3084FD68AA274B,1.53386E+15,1.53861E+15,8,222,6,1.53395E+15,0,0
B529E84EE03C578C7E92CE5836AB1C1D,1.53423E+15,1.53855E+15,8,226,3,1.53432E+15,0,0
D81B31D7F4951BB0641F45775A13A295,1.53775E+15,1.53776E+15,9,267,2,1.53784E+15,1,0
2BEA707B03705B0CB54A23D237DEE416,1.52893E+15,1.53775E+15,6,164,4,1.52902E+15,0,0
C5AD1A3C5BA7749BBA184BC5138E6090,1.53772E+15,1.53802E+15,9,266,1,1.53781E+15,0,0
C2D17D9066EE1EB9FAE1C8A521BFD4E5,1.52997E+15,1.53837E+15,6,177,3,1.53006E+15,0,0
A4DB05FC8E2542E121D371E0DF84D395,1.53594E+15,1.53798E+15,9,246,2,1.53603E+15,0,0
6D544296013D3F7E5FF708DFE81C3C18,1.52901E+15,1.53824E+15,6,165,5,1.5291E+15,0,0
8CFCCD1BCABB1E4C2B70E374EAD03092,1.53592E+15,1.53842E+15,9,245,1,1.53601E+15,0,0
CAC4EB6A7DC80207923995F4BE2129DF,1.53604E+15,1.5381E+15,9,247,3,1.53613E+15,0,0
C13987810D859EC3869A5D43C4A7D65A,1.53773E+15,1.5381E+15,9,266,1,1.53782E+15,0,0
205AE83B43BB3A54E25E55E605AF6431,1.52942E+15,1.53845E+15,6,170,3,1.52951E+15,0,0
D92207F94EBE0D87E706A5EBD864C614,1.53587E+15,1.5377E+15,9,245,1,1.53596E+15,0,0
BBA117EBB63C7CC6E3C9D836C4CE16F7,1.53632E+15,1.53777E+15,9,250,6,1.53641E+15,0,0
2CA82928A35949DF7775D4BC04F0AEA1,1.52881E+15,1.53862E+15,6,163,3,1.5289E+15,0,0
80DAC92E1CDE9C7177BB9B381AFDA762,1.53776E+15,1.53776E+15,9,267,2,1.53785E+15,1,1
FB038B1647754ED4E3E7CFEABFC553A4,1.53589E+15,1.53807E+15,9,245,1,1.53598E+15,0,0
E2DA3DCB59050A788451A4B3B46D5CFD,1.53752E+15,1.53814E+15,9,264,6,1.53761E+15,0,0
65175A0DA6D62548FE0037143B3520A1,1.53775E+15,1.53775E+15,9,267,2,1.53784E+15,1,1
8EB3C2F40C6D10BC745C93F1C883A965,1.53772E+15,1.53772E+15,9,266,1,1.53781E+15,1,1
E51887B217C34C4D0D506DBE259465B5,1.53659E+15,1.53807E+15,9,253,2,1.53668E+15,0,0
4FFA814A95FD613EBEC9BBE7D36F9A2E,1.53733E+15,1.53806E+15,9,262,4,1.53742E+15,0,0
69599C9ED33015D6A6AEE16414074147,1.53609E+15,1.53816E+15,9,247,3,1.53617E+15,0,0
3307DD0AEFB45F2AFEE766A57E2EC357,1.53772E+15,1.53808E+15,9,266,1,1.5378E+15,0,0
56B9CBB6CB58106DCCF3CAD660232CB2,1.52904E+15,1.53863E+15,6,166,6,1.52912E+15,0,0
06984AB55E6069C42FE61F3510F1522B,1.52882E+15,1.53474E+15,6,163,3,1.5289E+15,0,0
094CDCB8EF23B9B55134A0B5E22DFFCB,1.5304E+15,1.5385E+15,6,181,7,1.53048E+15,0,0
2CC293EDCBFA2822994DAFA833FD8B29,1.53111E+15,1.53111E+15,7,190,2,1.5312E+15,1,1
22430BD1EDFC8E2E980313F10148A53E,1.53029E+15,1.53185E+15,6,180,6,1.53038E+15,0,0
29845B6298FB882DF53607D21F0E1DF7,1.52899E+15,1.53141E+15,6,165,5,1.52908E+15,0,0
0CF1172485E8FC12110F04AB2374B308,1.52935E+15,1.53863E+15,6,169,2,1.52944E+15,0,0
676BB63373E1F0AD33EE422E0D6D6184,1.53065E+15,1.53666E+15,7,184,3,1.53074E+15,0,0
017CF202552235BBA4338E0D82A53F43,1.53109E+15,1.53164E+15,7,189,1,1.53117E+15,0,0
D9A79CD45804EB82483DAB809D7B417C,1.53105E+15,1.53484E+15,7,189,1,1.53114E+15,0,0
43C40AF8F7472C4B0D6B024D4F588675,1.53109E+15,1.5315E+15,7,189,1,1.53118E+15,0,0
0CAAA1B6F161BA4D363EB7A2DEF64A08,1.52933E+15,1.53854E+15,6,169,2,1.52942E+15,0,0
7BC2E09691451A9FE614E109A0B4FEBE,1.53111E+15,1.53111E+15,7,190,2,1.5312E+15,1,1
1213ED1E96B0A49B51C0F7683DB2ACCC,1.53033E+15,1.53835E+15,6,181,7,1.53041E+15,0,0
B63075B53A750A67A12F7F19ED5AA835,1.52933E+15,1.5386E+15,6,169,2,1.52941E+15,0,0
882CBB110104131AC6672434F3EC9FCC,1.53041E+15,1.53821E+15,7,182,1,1.5305E+15,0,0
4640585DB6878F93C3212012A2A03348,1.52894E+15,1.53705E+15,6,165,5,1.52903E+15,0,0
BB2FB1AD3F2BFFD7ABB35AE547918691,1.5296E+15,1.53148E+15,6,172,5,1.52969E+15,0,0
A0616D4E494DC3BCCB94B8B6E5B48380,1.52956E+15,1.53859E+15,6,172,5,1.52965E+15,0,0
159002C6F393752AD79B3C2E8C7104C7,1.53105E+15,1.53576E+15,7,189,1,1.53114E+15,0,0
AFFBFB5A561C0DEA5ACAA4D33BC483A5,1.53024E+15,1.53465E+15,6,180,6,1.53033E+15,0,0
B458770ED6E295374FEEB3A68902CC28,1.52967E+15,1.53861E+15,6,173,6,1.52976E+15,0,0
EF500E0CF578004836D1D38C8901862B,1.52939E+15,1.53863E+15,6,170,3,1.52948E+15,0,0
328DC7FE55E8881B2EA668C9A2855BB7,1.52963E+15,1.53844E+15,6,173,6,1.52972E+15,0,0
455A059D272F86B492CF87D2B0F40E27,1.53108E+15,1.53108E+15,7,189,1,1.53116E+15,1,0
94F6DC30FB534AD3F29E89620F53DAB7,1.53105E+15,1.53105E+15,7,189,1,1.53114E+15,1,1
17FF9462A5E84B6FCB1B718B3DD2D3EC,1.53107E+15,1.53107E+15,7,189,1,1.53115E+15,1,1
8DBD6ADC48F015EF2088ECB83F7CD107,1.53059E+15,1.53199E+15,7,184,3,1.53068E+15,0,0
4CCF27CD8F2C2F63611C74DFB71C3B8B,1.52881E+15,1.53108E+15,6,163,3,1.5289E+15,0,0
EF9C32CA65880162136061B25D24E05E,1.5312E+15,1.53123E+15,7,191,3,1.53129E+15,1,0
0FF2FC480E70693841DCBFBB240F2E24,1.53121E+15,1.53778E+15,7,191,3,1.53129E+15,0,0
945DE7C965AFB12E35C3C992CF9847E2,1.5312E+15,1.5371E+15,7,191,3,1.53128E+15,0,0
59483477E9365F4C9A834CD88B37BA41,1.53122E+15,1.53331E+15,7,191,3,1.53131E+15,0,0
FB9AD160115DC0E6F045BB654344287B,1.52955E+15,1.53807E+15,6,172,5,1.52964E+15,0,0
2DB65B29C41328FF8AB9AC27B7C05537,1.52961E+15,1.53661E+15,6,172,5,1.5297E+15,0,0
8E6F7A428C907165D78A2377ABEB7315,1.53117E+15,1.53256E+15,7,190,2,1.53126E+15,0,0
2F48607C41ECC4015FA296500F0A2C4B,1.52883E+15,1.53566E+15,6,163,3,1.52892E+15,0,0
1235BA39F8C700F0529EC1A33470BF0C,1.52889E+15,1.53379E+15,6,164,4,1.52898E+15,0,0
BC52B9AFFA3C0A471D06D90400771809,1.53125E+15,1.53248E+15,7,191,3,1.53133E+15,0,0
84D135997D8A4D9CB35D4ECA46EF6861,1.52976E+15,1.53185E+15,6,174,7,1.52985E+15,0,0
0A0A977572E0A1355CCC54EB04360606,1.53121E+15,1.53127E+15,7,191,3,1.53129E+15,1,0
83E66F1BEAC2F5ACD6ADC1DC56CD1EFD,1.52928E+15,1.53749E+15,6,169,2,1.52937E+15,0,0
47D860764E077EF0B2913BE5CAF90680,1.53122E+15,1.53123E+15,7,191,3,1.53131E+15,1,0
DAC3C60A9BB7734F83F0C7478185AC4C,1.53129E+15,1.53181E+15,7,192,4,1.53137E+15,0,0
A37E328CF1E796D9004CC04DA0174D49,1.53127E+15,1.53127E+15,7,192,4,1.53136E+15,1,1
2BBBB993FCB4A3A3C59D2537202CA402,1.53125E+15,1.53273E+15,7,191,3,1.53133E+15,0,0
1E5B0F76F3E253BB03C2BBE25E3B9BF6,1.53126E+15,1.53183E+15,7,191,3,1.53134E+15,0,0
8252847DECB3C31CAB9BDEE566F97BA2,1.53123E+15,1.53857E+15,7,191,3,1.53132E+15,0,0
74375465CD17299EBC7C75A1B4047EE0,1.52888E+15,1.53863E+15,6,164,4,1.52897E+15,0,0
7B6BE2A3601A027FD74E71ADC49E4D38,1.53028E+15,1.53197E+15,6,180,6,1.53037E+15,0,0
A74C05E503F6274BAA9457B2265471F5,1.52932E+15,1.53861E+15,6,169,2,1.5294E+15,0,0
D7D1BA6ED11F3F862998ED8B8DB94249,1.53005E+15,1.5385E+15,6,177,3,1.53014E+15,0,0
573882302F3B51695FD01C01316919C9,1.52979E+15,1.53123E+15,6,174,7,1.52987E+15,0,0
96488267CA359B62E02C184468748FFD,1.53063E+15,1.53824E+15,7,184,3,1.53071E+15,0,0
F0FE3E7D8F5EF494C7D34AECB8D27951,1.52978E+15,1.53844E+15,6,174,7,1.52986E+15,0,0
3FC8ECFC8F2976C5B56D0D782F36BD7F,1.52965E+15,1.53855E+15,6,173,6,1.52974E+15,0,0
969928EC33029CB2E91CE4B9BA96728D,1.52907E+15,1.53805E+15,6,166,6,1.52916E+15,0,0
377303AA2F5C5C80E5AAAD26C029BD5A,1.5298E+15,1.53833E+15,6,175,1,1.52989E+15,0,0
918E01DFDCFA209B176CCF3C07EDB3C5,1.53126E+15,1.53809E+15,7,191,3,1.53135E+15,0,0
1857669A1D474842D10E74B20FDA20CB,1.53003E+15,1.53816E+15,6,177,3,1.53012E+15,0,0
091F09F594F7507A1D6D34D006A49CD9,1.52952E+15,1.53859E+15,6,171,4,1.52961E+15,0,0
7680F936107E7650F57D261F4018CE7A,1.52894E+15,1.53848E+15,6,165,5,1.52902E+15,0,0
0D9DE32D08364277A3406C8107F5763F,1.5296E+15,1.53711E+15,6,172,5,1.52968E+15,0,0
81F5705397CE9F0236B2B672AE113154,1.52964E+15,1.53857E+15,6,173,6,1.52973E+15,0,0
75120F32A68A6C4FB643349E125D8C31,1.5312E+15,1.53863E+15,7,191,3,1.53129E+15,0,0
6F6CBC414BAA987475A1F0B41D3C9315,1.5309E+15,1.53826E+15,7,187,6,1.53099E+15,0,0
525E3BEE74AD824923CC04FE45E45B40,1.5292E+15,1.53737E+15,6,168,1,1.52928E+15,0,0
0A8B3658EFEEE8A30763ED36A4152C4B,1.52948E+15,1.53194E+15,6,171,4,1.52957E+15,0,0
2101B6BB8F2636384612521D6A10A55B,1.53162E+15,1.53244E+15,7,196,1,1.5317E+15,0,0
86C65934EDF946EBA8153BF74F0D55CE,1.53017E+15,1.53306E+15,6,179,5,1.53026E+15,0,0
58230465C695B0FDDDAE08A481FAEECC,1.52952E+15,1.53584E+15,6,171,4,1.52961E+15,0,0
476409D7DFD0B2B2B0AB11E5F6D7DDBE,1.53178E+15,1.5335E+15,7,197,2,1.53187E+15,0,0
10DD4C2B3060AB868E928AA66B81E459,1.52956E+15,1.5369E+15,6,172,5,1.52964E+15,0,0
F0C98C1580B5B85E36A5605149A40CE7,1.53195E+15,1.5348E+15,7,199,4,1.53204E+15,0,0
667A8D0FDB2FA1BA819DAB6C0F5C7BC4,1.52904E+15,1.53836E+15,6,166,6,1.52912E+15,0,0
85C63B84706E6DD9752813675F9FB5F8,1.53114E+15,1.53847E+15,7,190,2,1.53123E+15,0,0
EE5D2D867D973763D36332DB66500429,1.53191E+15,1.53191E+15,7,199,4,1.532E+15,1,1
19A52401D23AE9E42A176C6ED9AA5F08,1.53165E+15,1.53529E+15,7,196,1,1.53173E+15,0,0
8601A3659DC5C1F0444E5CCDA5ED3E14,1.53197E+15,1.53417E+15,7,200,5,1.53206E+15,0,0
EF5027132DCDB94B2406560CAF7A5938,1.53177E+15,1.53293E+15,7,197,2,1.53185E+15,0,0
E0CE2CA5D2D361E064F990D370644897,1.53036E+15,1.53652E+15,6,181,7,1.53045E+15,0,0
D4710B794E9AAB607825E5F6B44D60E0,1.53194E+15,1.53194E+15,7,199,4,1.53203E+15,1,1
7AA6572327B5C45D273CCD8868760033,1.52945E+15,1.53853E+15,6,170,3,1.52954E+15,0,0
885F80003700BFD26A67A63A5EF1897E,1.53194E+15,1.53486E+15,7,199,4,1.53203E+15,0,0
E19F04BAB15FBA761833F71BCF5D97D3,1.53189E+15,1.53853E+15,7,199,4,1.53197E+15,0,0
527BB449926BA5B088526A264FD49312,1.53191E+15,1.53852E+15,7,199,4,1.532E+15,0,0
68F0F274679E4F4B4059C60DDAA5A3D4,1.53192E+15,1.53192E+15,7,199,4,1.53201E+15,1,1
901BFDA2B9D8339917ABD9785B4EC499,1.53097E+15,1.53193E+15,7,188,7,1.53106E+15,0,0
8A967B0EBC5488B83E64805029677B66,1.53032E+15,1.53567E+15,6,181,7,1.53041E+15,0,0
B7603B7B3324056CAF6E576ED8EE284D,1.52954E+15,1.53858E+15,6,171,4,1.52962E+15,0,0
8D0E7EBF4DB95170907FDF54CCB166C8,1.53191E+15,1.53196E+15,7,199,4,1.532E+15,1,0
678F34DADB6195EC745FBD1FE5397F49,1.53192E+15,1.53237E+15,7,199,4,1.53201E+15,0,0
53A0BD3DCF2B401EDB8A810C0E162BD0,1.53779E+15,1.53782E+15,9,267,2,1.53788E+15,1,0
7657E94F33F780A1D896FBC9237E5ECC,1.53638E+15,1.53779E+15,9,251,7,1.53647E+15,0,0
414C0660ADA40317EB4FDBAE82F9E2C0,1.53785E+15,1.53785E+15,9,268,3,1.53794E+15,1,1
D868E09F1EB467A324D16D75D6676C59,1.53683E+15,1.53777E+15,9,256,5,1.53691E+15,0,0
D81B390EB1BB12AB50085C9675367308,1.53217E+15,1.53778E+15,7,202,7,1.53225E+15,0,0
6351849D04432F45F92C7ACAF872311E,1.53785E+15,1.53785E+15,9,268,3,1.53794E+15,1,0
1B0A7015D4B14DB345B1B9BC0A18C74E,1.53627E+15,1.53779E+15,9,249,5,1.53636E+15,0,0
D4F52F2C7C2482724A6FCCF02E1AF71D,1.53592E+15,1.53796E+15,9,245,1,1.536E+15,0,0
